"tconst","averageRating","numVotes","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","parentTconst","seasonNumber","episodeNumber"
"tt11137960",7,8,"movie","Il Giovane Pertini Combattente per la libertà","Il Giovane Pertini Combattente per la libertà",0,"2019","\N","\N","History",NA,NA,NA
"tt11138342",9.5,20,"tvEpisode","Episode #1.2","Episode #1.2",0,"2019","\N","\N","Crime,Drama,History","tt11080420","1","2"
"tt11138408",9.3,19,"tvEpisode","Episode #1.3","Episode #1.3",0,"2019","\N","\N","Crime,Drama,History","tt11080420","1","3"
"tt11138488",9.4,19,"tvEpisode","Episode #1.4","Episode #1.4",0,"2019","\N","\N","Crime,Drama,History","tt11080420","1","4"
"tt11139354",7.1,9,"tvMovie","1917: One Year, Two Revolutions","1917: One Year, Two Revolutions",0,"2017","\N","44","Documentary,History",NA,NA,NA
"tt11142984",7.1,50,"tvEpisode","The Secrets of Stonehenge","The Secrets of Stonehenge",0,"2019","\N","42","Documentary,Fantasy,History","tt1643266","14","17"
"tt11143822",5.3,11,"tvMiniSeries","Bir Yusuf Masali","Bir Yusuf Masali",0,"2013","2013","\N","Comedy,Family,History",NA,NA,NA
"tt11147106",6.2,317,"movie","Talking the Pictures","Katsuben!",0,"2019","\N","126","Comedy,Drama,History",NA,NA,NA
"tt1114715",4.9,171,"movie","Sangre de mayo","Sangre de mayo",0,"2008","\N","152","History",NA,NA,NA
"tt1115192",7.8,5,"tvEpisode","Look Who Gets Divorced","Look Who Gets Divorced",0,"2007","\N","\N","Drama,History,Romance","tt0878797","2","3"
"tt11151956",9.2,17,"tvEpisode","Episode #1.5","Episode #1.5",0,"2019","\N","\N","Crime,Drama,History","tt11080420","1","5"
"tt11152038",6.1,8,"tvSeries","Awakening of Insects","Die zhan shen hai zhi jing zhe",0,"2019","2019","\N","Drama,History,Mystery",NA,NA,NA
"tt11153382",8.1,8,"tvEpisode","Namedni-1954","Namedni-1954",0,"2019","\N","38","Documentary,History","tt10976260","2","3"
"tt1115525",7.6,17,"tvEpisode","Namedni 1961","Namedni 1961",0,"1997","\N","\N","History","tt0764146","1","1"
"tt1115526",7.5,15,"tvEpisode","Namedni 1962","Namedni 1962",0,"1997","\N","\N","History","tt0764146","1","2"
"tt11157146",9.1,9,"movie","Shree ram samartha","Shree ram samartha",0,"2019","\N","\N","History",NA,NA,NA
"tt11157396",9.2,16,"tvEpisode","Episode #1.6","Episode #1.6",0,"2019","\N","\N","Crime,Drama,History","tt11080420","1","6"
"tt11157434",7.4,11,"tvEpisode","Devyataya seriya","Devyataya seriya",0,"2019","\N","\N","Biography,Drama,History","tt4231140","3","9"
"tt11157438",7.6,10,"tvEpisode","Desyataya seriya","Desyataya seriya",0,"2019","\N","\N","Biography,Drama,History","tt4231140","3","10"
"tt11157444",7.7,10,"tvEpisode","Odinnadsataya seriya","Odinnadsataya seriya",0,"2019","\N","\N","Biography,Drama,History","tt4231140","3","11"
"tt11157446",7.7,10,"tvEpisode","Dvenadtsataya seriya","Dvenadtsataya seriya",0,"2019","\N","\N","Biography,Drama,History","tt4231140","3","12"
"tt11157454",7.6,10,"tvEpisode","Trinadtsataya seriya","Trinadtsataya seriya",0,"2019","\N","\N","Biography,Drama,History","tt4231140","3","13"
"tt11157460",7.4,10,"tvEpisode","Chetyrnadtsataya seriya","Chetyrnadtsataya seriya",0,"2019","\N","\N","Biography,Drama,History","tt4231140","3","14"
"tt11157464",7.1,10,"tvEpisode","Pyatnadsataya seriya","Pyatnadsataya seriya",0,"2019","\N","\N","Biography,Drama,History","tt4231140","3","15"
"tt11157468",7.8,9,"tvEpisode","Shestnadsataya seriya","Shestnadsataya seriya",0,"2019","\N","\N","Biography,Drama,History","tt4231140","3","16"
"tt11159062",7.8,10,"tvEpisode","The Road to Hell","The Road to Hell",0,"2019","\N","42","Documentary,Drama,History","tt10738718","1","2"
"tt11159102",7.7,10,"tvEpisode","Lust for Blood","Lust for Blood",0,"2019","\N","42","Documentary,Drama,History","tt10738718","1","3"
"tt11159130",7.5,11,"tvEpisode","Pray for Mercy","Pray for Mercy",0,"2019","\N","42","Documentary,Drama,History","tt10738718","1","4"
"tt11162456",6.5,672,"tvEpisode","Rodman: For Better or Worse","Rodman: For Better or Worse",0,"2019","\N","102","Biography,Documentary,History","tt1408430","3","33"
"tt11164368",7.8,30,"tvMiniSeries","Britain in Color","Britain in Color",0,"2019","\N","\N","Biography,Documentary,History",NA,NA,NA
"tt11165002",7.6,11171,"tvMiniSeries","The Devil Next Door","The Devil Next Door",0,"2019","2019","229","Crime,Documentary,History",NA,NA,NA
"tt11167630",8.2,5,"tvEpisode","Swansea","Swansea",0,"2016","\N","\N","Biography,Documentary,History","tt6431244","1","1"
"tt11167638",8.2,6,"tvEpisode","Aberdeenshire","Aberdeenshire",0,"2016","\N","\N","Biography,Documentary,History","tt6431244","1","2"
"tt11167640",8,5,"tvEpisode","Belfast","Belfast",0,"2016","\N","\N","Biography,Documentary,History","tt6431244","1","3"
"tt11167646",7.4,7,"tvEpisode","Glasgow","Glasgow",0,"2017","\N","\N","Biography,Documentary,History","tt6431244","2","1"
"tt11167648",8,5,"tvEpisode","Derby","Derby",0,"2017","\N","\N","Biography,Documentary,History","tt6431244","2","2"
"tt11167652",7.6,5,"tvEpisode","Carmarthenshire","Carmarthenshire",0,"2017","\N","\N","Biography,Documentary,History","tt6431244","2","3"
"tt11167818",4.6,944,"movie","Türkler Geliyor: Adaletin Kilici","Türkler Geliyor: Adaletin Kilici",0,"2019","\N","125","Action,Drama,History",NA,NA,NA
"tt11168052",8.5,24,"tvSeries","The Art Mysteries","The Art Mysteries",0,"2020","\N","29","Biography,Documentary,History",NA,NA,NA
"tt11169558",7.6,5,"tvEpisode","Richard Löwenherz - Ein König in der Falle","Richard Löwenherz - Ein König in der Falle",0,"2019","\N","\N","Documentary,History","tt2984400","\N","\N"
"tt1117235",7.5,16,"tvEpisode","Acid","Acid",0,"2007","\N","45","Documentary,History","tt0199248","14","32"
"tt1117236",8.1,15,"tvEpisode","Extreme Aircraft II","Extreme Aircraft II",0,"2007","\N","45","Documentary,History","tt0199248","14","30"
"tt11173138",6.5,140,"tvSeries","Equal","Equal",0,"2020","\N","\N","Documentary,History",NA,NA,NA
